created_at,id,updated_at,name,poster_url,quote
NULL,54,NULL,"박봉곤 가출사건",https://i.namu.wiki/i/LuDU3wgApI8S-6_XtJKtwQIyetOqNDVrsgDnle61nmjg5L2AlytAqAOe211e1DdPXfmVbiLPVrPG_sHZ1k0f9Q.webp,"
"
NULL,55,NULL,썸,http://imgnews.naver.net/image/001/2004/09/16/kp1_2040916l1095.jpg,"
"
NULL,56,NULL,어린신부,http://imgnews.naver.net/image/075/2004/03/13/200403131034332.jpg,"
"
NULL,57,NULL,무적자,http://imgnews.naver.net/image/079/2010/08/03/03094858015_60800040.jpg,"
"
NULL,58,NULL,열정같은소리하고있네,https://i.namu.wiki/i/mO6L93WrjwUiFf-1PHkey0Z1Vop48oMZQu2gXZGAPiLvM8-8y5nAlcrzw_Pzns3-E6jjuGCA34erNLuk-4zmSg.webp,"
"
NULL,59,NULL,"그날의 기억",https://image.aladin.co.kr/product/22040/44/letslook/K962636910_f.jpg,"
"
NULL,60,NULL,"바르게 살자",http://shop1.phinf.naver.net/20240413_188/1713008214993JfHuT_JPEG/114144103688680548_1390611314.jpg,"
"
NULL,61,NULL,투혼,https://www.gyeongnamfc.com/upload/edimg/5ff706fa59b8a.png,"
"
NULL,62,NULL,"마녀의 관",http://imgnews.naver.net/image/5020/2010/02/27/20100227_1267242657.jpg,"
"
NULL,64,NULL,"오! 문희",http://imgnews.naver.net/image/311/2020/09/29/0001206816_001_20200929105232634.jpg,"
"
NULL,65,NULL,"고死: 피의 중간고사",https://i.namu.wiki/i/7EjEE2RS6bZAkD7w1Orgez7UTppBbJiWJIEHiwPC76pMTyhPY3DlmVafMU85uilPqZCueySSoDPM9RqCfn0BAg.webp,"
"
NULL,66,NULL,"특별시 사람들","https://image.tving.com/ntgs/contents/CTC/caim/CAIM2100/ko/20231025/0510/M000363743.jpg/dims/resize/F_webp,480","
"
NULL,67,NULL,"언니가 간다",http://imgnews.naver.net/image/075/2006/09/22/200609221641161.jpg,"
"
NULL,68,NULL,"똑바로 살아라",https://an2-img.amz.wtchn.net/image/v2/S2wxqXzhM75HW2Rf_NwYAQ.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXhMM1E1WVRsa1lTMDJOelEzT1NKOS5Jd2tzQnRRT2Z6Z2pUWlk2QVo0bFVnMkVzVHZscWJoZlBrMHVqMFJIOU9V,"
"
NULL,69,NULL,초능력자,http://imgnews.naver.net/image/109/2010/10/12/201010120847778562_1.jpg,"
"
NULL,70,NULL,"어떤이의 꿈",https://img2.tmon.kr/cdn4/deals/2023/11/23/21440915622/front_d8119_sb5hh.jpg,"
"
NULL,72,NULL,"다세포 소녀",http://imgnews.naver.net/image/079/2006/06/19/19101834094_60800040.jpg,"
"
NULL,73,NULL,비상선언,https://img.extmovie.com/files/attach/images/135/743/684/086/a1addf8288fb01f18bc423d3a78dd004.jpg,"
"
NULL,74,NULL,별리,http://imgnews.naver.net/image/5353/2018/10/26/0000431551_001_20181026050221626.jpg,"
"
NULL,75,NULL,치욕일기,https://file.kinolights.com/m/post_detail/202408/20/5350d55a-c581-4a1a-a671-118968f6a50f.webp,"
"
NULL,76,NULL,사방지,http://imgnews.naver.net/image/5002/2019/01/29/0001141918_001_20190129083802599.jpg,"
"
NULL,77,NULL,사마리아,http://imgnews.naver.net/image/213/2014/03/10/20140310_1394393897_76092800_1_59_20140310044205.jpg,"
"
NULL,78,NULL,"잃어버린 사람들",https://misc.ridibooks.com/cover/933000190/xxlarge,"
"
NULL,79,NULL,종이꽃,http://post.phinf.naver.net/MjAyMDA5MjlfMTM5/MDAxNjAxMzQ3ODIxMjQw.goYp-kXCugDEaMG9cKE_j4MFnPQqu4kNUmitwdbaVkYg.T8Omz60mTUQbuD8dDgkwuTt0EstDUI6C5JenUKiqWTgg.JPEG/I7wOzGOOkuVFaEzaUOPtHS0LwRZk.jpg,"
"
NULL,80,NULL,"용의주도 미스신",http://fimg.pann.com/download.jsp?FileID=10115576,"
"
NULL,81,NULL,"사랑을 놓치다",http://shop1.phinf.naver.net/20230404_54/1680585712821Nnjee_JPEG/81721608498453335_1443108693.jpg,"
"
NULL,82,NULL,몽타주,http://imgnews.naver.net/image/5129/2013/04/08/1365379655_494096_59_20130408093008.jpg,"
"
NULL,83,NULL,"우리에게 축배를","https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_700,q_80,w_490/v1526941521/x1grsed49zgs5f5sduiw.jpg","
"
NULL,85,NULL,"건축무한 육면각체의 비밀",https://img.extmovie.com/files/attach/images/392/746/151/063/fa4d3b5625581b33f2d954ccb96949dd.jpg,"
"
NULL,86,NULL,악어,https://dnvefa72aowie.cloudfront.net/origin/article/202401/2fe78509e3c6071d0b686b999ec6c262b1bf62e2b7f5f3c578bcaa31d377e4de_0.webp?q=95&s=1440x1440&t=inside&f=webp,"
"
NULL,87,NULL,남자사용설명서,http://imgnews.naver.net/image/382/2013/01/28/52645918.1_59_20130128172526.jpg,"
"
NULL,88,NULL,"엄마없는 하늘아래(속)",http://shop1.phinf.naver.net/20230527_214/1685152140756Rljjm_JPEG/35849688739834619_1399625093.jpg,"
"
NULL,89,NULL,트루맛쇼,http://imgnews.naver.net/image/079/2011/05/09/09182349640_60800010.jpg,"
"
NULL,90,NULL,파계,http://shop1.phinf.naver.net/20200510_4/1589077834884PVWVx_JPEG/FAH-032.jpg,"
"
NULL,91,NULL,여름에,https://png.pngtree.com/template/20240613/ourlarge/pngtree-summer-beautiful-summer-poster-template-vector-image_2021409.jpg,"
"
NULL,92,NULL,"두근두근 내 인생",http://imgnews.naver.net/image/312/2014/08/05/2014080509550076440_99_20140805095802.jpg,"
"
NULL,93,NULL,가루지기,http://imgnews.naver.net/image/015/2008/04/08/2008040876017_2008040840501.jpg,"
"
NULL,94,NULL,싱글즈,http://shop1.phinf.naver.net/20240413_158/1713008836598VIKmi_JPEG/114144679294528035_224811289.jpg,"
"
NULL,95,NULL,은교,https://i.namu.wiki/i/fueSMBymCGTP5-eeQfULem3y8Gbh9ZY4yrdif1YCzLVBecAoW3Jl8pTZ1GAUs569wE4r2wg06WdwJiRREgL8fw.webp,"
"
NULL,96,NULL,"공산성의 혈투",http://www.chungnam.go.kr/export/media/article_image/20171228/IM0001162252.jpg,"
"
NULL,97,NULL,"흡혈형사 나도열",https://image.aladin.co.kr/product/2052/54/cover/scm1900052204204.jpg,"
"
NULL,98,NULL,오늘,https://img.extmovie.com/files/attach/images/135/562/415/090/8a810f45984b11643679094350ecea57.jpg,"
"
NULL,100,NULL,키친,http://imgnews.naver.net/image/5648/2021/08/30/0000055408_001_20210830105459434.jpg,"
"
NULL,101,NULL,천재선언,https://i.pinimg.com/736x/d8/fd/5b/d8fd5b5cdbb5c84b228c4dbd91dc5324.jpg,"
"
NULL,102,NULL,"닥터 K",http://imgnews.naver.net/image/5575/2024/01/10/0000441947_001_20240110163002384.jpg,"
"
NULL,103,NULL,"여름의 출구",https://img.extmovie.com/files/attach/images/135/147/449/091/674b6bb70f0873a935389f32b89a32c0.jpg,"
"
NULL,104,NULL,청춘교사,https://img.theqoo.net/img/XYKsH.jpg,"
"
NULL,105,NULL,침묵,http://imgnews.naver.net/image/5453/2017/10/17/0000034024_001_20171017171233931.jpg,"
"
